chrome;knoxly;scheda;totale
0.5;0;1.4;1.9
23;0;93.1;116.1
33;3.2;30;66.2
6.1;0;0.9;7
29.7;0;30.6;60.3
7.5;0;8.6;16.1
8.3;0;8.9;17.2
10.5;0.1;8.6;19.2
20.3;0;17.8;38.1
8.1;0;32.9;41
16.5;0;41.6;58.1
8.1;0.1;8.4;16.6
9.4;0;88.1;97.5
12.4;0;9.3;21.7
12.9;0.1;109.6;122.6
31.2;0.3;22.6;54.1
8.8;0;4.8;13.6
10.3;0.1;85.2;95.6
29.7;0.4;30.9;61
8.8;0;1;9.8
21.1;0;94.6;115.7
39;0;103.1;142.1
21.6;0.1;1;22.7
0.5;0;103.7;104.2
35.4;0;90.2;125.6
33.2;0;5.5;38.7
0.5;0;44;44.5
32.7;0;30.4;63.1
11.4;0;8;19.4
10.8;0;47.6;58.4
11.9;0.1;9.5;21.5
16;0;97.1;113.1
29.4;0.9;67.3;97.6
12.5;0.1;0.9;13.5
0.6;0;97.9;98.5
32.8;0.4;9.4;42.6
11.5;0.1;8.8;20.4
22.4;0.3;9.3;32
9.7;0;71.1;80.8
32.5;0;86.9;119.4
13.4;0;8.8;22.2
8.8;0;97.5;106.3
32.2;0;67.6;99.8
12.8;0.1;3.6;16.5
0.5;0;93.1;93.6
30.6;0;47.6;78.2
12.6;0;1.1;13.7
4.1;0;104.7;108.8
30.7;2.2;23.1;56
10.4;0;0.8;11.2
10.4;0;95.7;106.1
34;0.3;96.7;131
30.1;0;9.7;39.8
11.1;0;56.8;67.9
25.9;0;26;51.9
11.6;0;9.2;20.8
16.6;0;99.7;116.3
29.9;0;65;94.9
17.1;0;1;18.1
0.6;0;100.4;101
28.2;0;91;119.2
29.9;0.1;5.7;35.7
0.7;0;93.3;94
26.2;0;82.1;108.3
16.9;0.1;9.3;26.3
3.6;0;95;98.6
28.8;0;51.5;80.3
9.9;0;6.7;16.6
2.5;0;103.6;106.1
29.8;0.5;61;91.3
12.1;0;3.9;16
8;0;105.8;113.8
28.6;0;106.2;134.8
33.4;0;8.9;42.3
10.8;0;65.3;76.1
28.1;0.1;56.7;84.9
12;0.1;8.6;20.7
5.8;0;91.9;97.7
29.2;0;86.2;115.4
28.4;0.1;34.6;63.1
11.8;0;8.6;20.4
22.2;0;80.9;103.1
19.3;0.1;8.9;28.3
12.2;0;111.5;123.7
28;0;93.7;121.7
33.2;0.4;8.6;42.2
0.6;0;48.3;48.9
26.8;0;61.2;88
17.8;0;9.1;26.9
4.1;0;104.3;108.4
26.1;0.1;106.9;133.1
26;0;38.5;64.5
11.1;0.1;8.9;20.1
17.4;0;75;92.4
6.5;0;9;15.5
9;0;105.6;114.6
25.6;0;9.7;35.3
10.1;0;9.1;19.2
21.3;0;103.2;124.5
25.6;0;10.9;36.5
10.3;0;33.8;44.1
19.9;0;104.6;124.5
15.8;0;57.6;73.4
16.8;0;104.1;120.9
29.6;0;48.6;78.2
8.9;0;1;9.9
0.5;0;108.6;109.1
17.2;0.1;9.7;27
11.4;0;101.9;113.3
26.5;0;101.8;128.3
25.8;0;90;115.8
17.1;0;10.5;27.6
11.5;0.1;102.4;114
26.3;0;73.5;99.8
24.7;0;77;101.7
14.8;0;10.2;25
12.1;0;79.4;91.5
24.9;0;83;107.9
26.7;0;20.1;46.8
11;0;11;22
14.2;0;95.3;109.5
11.6;0.1;11.2;22.9
10.9;0;99.4;110.3
23;0;93.4;116.4
