"chrome";"knoxly";"scheda";"TOTALE"
7.24;11.29;13.24;31.77
4.18;11.29;3.18;18.65
4.31;1.14;16.46;21.91
4.25;12.07;16.33;32.65
4.28;12.13;18.36;34.77
4.28;12.27;17.36;33.91
4.22;12.27;18.14;34.63
4.28;12.27;18.16;34.71
4.22;12.27;3.16;19.65
4.21;12.27;18.08;34.56
4.26;12.28;5.08;21.62
4.26;12.28;4.06;20.6
2.14;12.28;6.38;20.8
4.26;1.15;6.44;11.85
2.14;1.15;6.51;9.8
4.26;1.15;7.04;12.45
4.26;1.15;6.47;11.88
2.14;1.15;7.25;10.54
4.28;12.31;7.42;24.01
4.28;12.31;7.16;23.75
4.22;12.31;7.58;24.11
4.28;12.32;8.12;24.72
4.22;12.32;10.26;26.8
4.22;12.32;11.21;27.75
4.22;12.32;9.18;25.72
4.29;12.33;3.37;19.99
4.23;12.33;8.44;25
4.23;12.33;9.25;25.81
4.23;12.32;7.58;24.13
4.29;12.33;10.56;27.18
4.29;12.33;10.56;27.18
4.23;12.33;11.16;27.72
4.29;12.35;11.28;27.92
4.29;12.35;3.51;20.15
4.23;12.35;12.04;28.62
4.29;12.36;12.08;28.73
4.29;12.36;3.5;20.15
4.29;12.37;11.23;27.89
4.28;12.37;3.53;20.18
4.22;12.37;12.05;28.64
4.28;12.38;12.04;28.7
4.23;12.38;13.24;29.85
4.11;12.38;13.37;29.86
4.11;12.38;12.24;28.73
4.04;12.38;12.56;28.98
2.13;12.39;13.06;27.58
2.13;12.39;3.52;18.04
4.04;12.39;14.02;30.45
2.13;12.52;4.07;18.72
2.13;12.52;12.56;27.21
4.04;12.52;14.14;30.7
2.13;12.53;14.27;28.93
2.13;12.53;14.11;28.77
4.04;12.53;14.12;30.69
4.04;12.53;14.19;30.76
4.04;12.53;14.19;30.76
4.04;12.53;14.35;30.92
2.13;12.53;14.09;28.75
4.04;12.53;13.22;29.79
4.04;12.53;13.48;30.05
2.13;12.54;14.02;28.69
