"ram";"time";"cpu"
9.888;2.96;28.9
9.888;1.88;24
9.895;1.31;5
10.566;2.41;4
10.567;1.41;3
10.571;1.31;3
10.571;1.44;3
10.572;1.41;3
10.572;1.41;24
10.572;1.3;4
10.573;1.41;4
10.576;1.3;31
10.576;1.41;4
10.578;1.41;4
10.579;1.31;2
10.579;1.43;4
10.583;1.43;4
10.586;1.45;64.8
10.586;1.41;44.9
10.589;1.51;4
10.596;1.41;3
10.597;1.31;73.9
10.6;1.42;57.9
10.601;1.56;25
10.608;1.31;0
10.615;1.44;5
10.616;1.4;3
10.616;1.41;3
10.621;1.41;3
10.628;1.41;4
10.632;1.41;10
10.637;1.42;4
10.64;1.41;4
10.642;1.41;44.9
10.642;1.43;4
10.644;1.31;2
10.647;1.31;3
10.648;1.41;7
10.653;1.37;47.9
10.652;1.53;25
10.653;1.31;3
10.658;1.44;4
10.66;1.41;5
10.662;1.41;3
10.662;1.34;4
10.663;1.41;6
10.664;1.31;3
10.666;1.41;3
10.669;1.41;21
10.669;1.44;3
10.674;1.41;12
10.679;1.41;4
10.683;1.44;3
10.685;1.51;27
10.684;1.61;3
10.693;1.41;25
10.693;1.3;4
10.696;1.43;4
10.698;1.4;19
10.699;1.42;3
10.7;1.31;43.9
10.7;1.54;4
10.702;1.4;29
10.704;1.66;3
10.706;1.44;4
10.707;1.4;3
10.709;1.3;4
10.716;1.41;1
10.722;1.41;4
10.722;1.41;3
10.723;1.41;4
10.726;1.41;3
10.728;1.41;3
10.728;1.31;3
10.729;1.41;15
10.731;1.31;4
10.733;1.41;68.9
10.732;1.41;46.9
10.735;1.43;4
10.737;1.31;3
10.742;1.31;3
10.742;1.41;42.9
10.742;1.4;5
10.75;1.31;27
10.753;1.33;5
10.754;1.41;4
10.757;1.41;33
10.757;1.41;4
10.758;1.41;4
10.759;1.3;3
10.764;1.45;4
10.764;1.3;4
10.765;1.31;4
10.768;1.4;4
10.77;1.31;4
10.778;1.31;4
10.779;1.3;25
10.779;1.3;5
10.781;1.41;3
10.783;1.41;3
10.783;1.41;4
10.788;1.41;49.9
10.788;1.43;28
10.789;1.41;4
10.797;1.41;4
10.8;1.31;3
10.802;1.41;5
10.803;1.42;4
10.804;1.4;3
10.805;1.51;4
10.812;1.33;32.9
10.823;1.43;4
10.829;1.41;0
10.83;1.44;4
10.831;1.41;4
10.834;1.41;29
10.836;1.41;4
10.837;1.31;18
10.84;1.31;3
10.846;1.31;4
10.854;1.41;4
10.854;1.36;4
10.855;1.41;3
10.856;1.44;4
10.858;1.44;10
10.858;1.34;2
10.858;1.31;37
10.86;1.43;3
10.862;1.31;4
10.863;1.31;3
10.865;1.4;3
10.866;1.4;3
10.867;1.31;4
10.869;1.41;3
10.873;1.54;3
10.874;1.41;4
10.874;1.34;31
10.876;1.4;4
10.878;1.41;24
10.88;1.31;3
10.882;1.3;5
10.886;1.41;9
10.887;1.41;3
10.889;1.41;4
10.889;1.31;3
10.893;1.3;14
10.894;1.41;3
10.897;1.44;14
10.899;1.4;4
10.902;1.3;1
10.906;1.41;3
10.909;1.41;4
10.912;1.45;4
10.915;1.41;4
10.915;1.41;4
10.916;1.31;4
10.918;1.31;3
10.92;1.41;4
10.922;1.41;3
10.922;1.41;3
10.922;1.31;3
10.922;1.31;37.9
10.924;1.76;4
10.925;1.51;3
10.927;1.31;18
10.928;1.41;30.9
10.929;1.51;28
10.931;1.51;3
10.937;1.41;4
10.937;1.41;4
10.937;1.51;3
10.938;1.42;2
10.941;1.41;4
10.941;1.41;24
10.943;1.31;3
10.944;1.31;3
10.945;1.41;31
10.945;1.41;14
10.946;1.41;4
10.948;1.31;1
10.95;1.31;3
10.953;1.31;4
10.955;1.41;4
10.959;1.41;3
10.96;1.4;4
10.961;1.51;3
10.965;1.31;3
10.967;1.31;27
10.969;1.4;23
10.969;1.3;2
10.973;1.41;4
10.98;1.41;3
10.984;1.5;0
10.985;1.31;5
10.99;1.41;3
10.991;1.33;3
10.994;1.41;5
10.994;1.3;2
10.994;1.41;3
10.996;1.3;0
10.997;1.41;4
11.002;1.31;2
11.004;1.3;2
11.006;1.45;4
11.006;1.41;36
11.007;1.51;3
11.01;1.51;25
11.013;1.3;4
11.018;1.41;4
11.018;1.31;4
11.021;1.33;2
11.024;1.41;5
11.026;1.41;4
11.028;1.41;4
11.029;1.55;4
11.03;1.41;5
11.035;1.42;4
11.037;1.43;4
11.037;1.44;3
11.039;1.33;4
11.039;1.51;4
11.044;1.46;3
11.045;1.41;4
11.046;1.4;32
11.046;1.41;4
11.05;1.31;3
11.053;1.41;4
11.054;1.3;4
11.055;1.41;4
11.059;1.43;4
11.059;1.41;3
11.062;1.4;3
11.064;1.4;3
11.065;1.3;3
11.065;1.41;4
11.065;1.41;3
11.066;1.4;4
11.067;1.4;32
11.068;1.4;3
11.07;1.41;15
11.072;1.4;4
11.077;1.31;19
11.083;1.52;30
11.083;1.4;1
11.086;1.31;3
11.088;1.41;4
11.089;1.41;25
11.09;1.31;3
11.091;1.31;3
11.095;1.31;3
11.095;1.41;4
11.096;1.41;4
11.098;1.41;3
11.102;1.41;3
11.103;1.44;4
11.104;1.44;4
11.105;1.4;3
11.107;1.31;4
11.11;1.41;4
11.118;1.42;4
11.121;1.41;4
11.124;1.44;3
11.129;1.51;44.9
11.137;1.51;5
11.144;1.41;4
11.146;1.41;3
11.147;1.4;4
11.148;1.3;4
11.148;1.4;3
11.148;1.32;4
11.151;1.41;5
11.155;1.41;4
11.157;1.43;4
11.157;1.43;4
11.158;1.41;4
11.16;1.41;4
11.162;1.41;4
11.169;1.31;3
11.17;1.41;3
11.175;1.41;18
11.182;1.31;3
11.183;1.4;26
11.184;1.31;4
11.187;1.4;4
11.188;1.4;4
11.194;1.41;4
11.196;1.31;4
